service_id,brand,model,model_year,service_date,service_type,service_cost
1,Ford,Utility Police Interceptor Base,2013,2020-01-01,Tire Rotation,54.44
2,Hyundai,Palisade SEL,2021,2020-01-02,Oil Change,210.09
3,Lexus,RX 350 RX 350,2022,2020-01-03,Brake Replacement,117.96
4,INFINITI,Q50 Hybrid Sport,2015,2020-01-04,Engine Check,61.07
5,Audi,Q3 45 S line Premium Plus,2021,2020-01-05,Engine Check,499.07
6,Acura,ILX 2.4L,2016,2020-01-06,Brake Replacement,481.15
7,Audi,S3 2.0T Premium Plus,2017,2020-01-07,Engine Check,118.37
8,BMW,740 iL,2001,2020-01-08,Engine Check,260.49
9,Lexus,RC 350 F Sport,2021,2020-01-09,Tire Rotation,377.2
10,Tesla,Model X Long Range Plus,2020,2020-01-10,Engine Check,77.66
11,Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,2020-01-11,Brake Replacement,392.91
12,Aston,Martin DBS Superleggera,2019,2020-01-12,Tire Rotation,338.76
13,Toyota,Supra 3.0 Premium,2021,2020-01-13,Oil Change,251.98
14,Lincoln,Aviator Reserve AWD,2022,2020-01-14,Tire Rotation,305.49
15,Jaguar,F-TYPE,2020,2020-01-15,Brake Replacement,185.02
16,Land,Rover LR4 HSE,2013,2020-01-16,Tire Rotation,491.32
17,Mercedes-Benz,Metris Base,2021,2020-01-17,Tire Rotation,363.34
18,Dodge,Challenger SXT,2013,2020-01-18,Oil Change,50.96
19,Nissan,350Z Enthusiast,2003,2020-01-19,Brake Replacement,102.44
20,Jaguar,F-TYPE R,2018,2020-01-20,Brake Replacement,175.8
21,Genesis,GV70 3.5T Sport,2023,2020-01-21,Brake Replacement,218.22
22,Chevrolet,S-10 LS,2000,2020-01-22,Oil Change,420.98
23,BMW,440 Gran Coupe 440i xDrive,2020,2020-01-23,Brake Replacement,457.49
24,Ford,F-150 XLT,2023,2020-01-24,Engine Check,474.39
25,Chevrolet,Suburban RST,2021,2020-01-25,Engine Check,264.37
26,Hyundai,Elantra N Base,2022,2020-01-26,Tire Rotation,295.52
27,Nissan,Sentra SR,2016,2020-01-27,Engine Check,146.44
28,Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,2020-01-28,Tire Rotation,206.23
29,BMW,650 Gran Coupe i xDrive,2015,2020-01-29,Brake Replacement,381.82
30,Audi,Q5 2.0T Premium Plus,2017,2020-01-30,Tire Rotation,99.64
31,Mercedes-Benz,AMG C 43 Base 4MATIC,2018,2020-01-31,Oil Change,196.92
32,Dodge,Ram 1500 Laramie Mega Cab,2006,2020-02-01,Tire Rotation,173.08
33,BMW,i3 120Ah w/Range Extender,2020,2020-02-02,Tire Rotation,252.04
34,Kia,Sorento SX,2011,2020-02-03,Oil Change,470.35
35,Lexus,LX 570 Base,2016,2020-02-04,Tire Rotation,356.55
36,Jeep,New Compass Trailhawk,2017,2020-02-05,Tire Rotation,52.9
37,BMW,340 i,2018,2020-02-06,Brake Replacement,162.14
38,Audi,A4 2.0T Premium Plus quattro,2012,2020-02-07,Brake Replacement,460.45
39,Hyundai,Tucson SE,2007,2020-02-08,Tire Rotation,59.66
40,BMW,Z4 sDrive28i,2014,2020-02-09,Tire Rotation,160.36
41,Bentley,Continental GTC Base,2011,2020-02-10,Engine Check,431.83
42,Honda,Passport Elite,2023,2020-02-11,Oil Change,79.34
43,Dodge,Sprinter 2500,2007,2020-02-12,Tire Rotation,101.87
44,BMW,M850 i xDrive,2019,2020-02-13,Oil Change,377.26
45,Lucid,Air Grand Touring,2022,2020-02-14,Brake Replacement,378.67
46,Audi,A7 Premium,2012,2020-02-15,Oil Change,322.24
47,Chevrolet,Silverado 1500 Custom Trail Boss,2021,2020-02-16,Tire Rotation,286.72
48,MINI,Convertible John Cooper Works,2017,2020-02-17,Tire Rotation,241.09
49,Toyota,Avalon Touring,2016,2020-02-18,Oil Change,406.07
50,Porsche,Cayenne Platinum Edition,2017,2020-02-19,Oil Change,55.49
51,Mercedes-Benz,AMG C 63 S,2017,2020-02-20,Oil Change,290.31
52,Honda,CR-V EX-L,2016,2020-02-21,Engine Check,427.6
53,Hummer,H2 Base,2005,2020-02-22,Oil Change,414.18
54,Porsche,911 Carrera S,2013,2020-02-23,Tire Rotation,90.89
55,Mercedes-Benz,CLA-Class CLA 250,2016,2020-02-24,Oil Change,256.9
56,Chrysler,300 Touring,2009,2020-02-25,Engine Check,494.83
57,Nissan,Rogue SV,2023,2020-02-26,Brake Replacement,380.92
58,Audi,A3 2.0T,2010,2020-02-27,Oil Change,99.92
59,Ford,Mustang GT Premium,2014,2020-02-28,Oil Change,153.81
60,Acura,RL Technology,2010,2020-02-29,Engine Check,387.09
61,Volvo,XC90 Hybrid T8 R-Design,2018,2020-03-01,Tire Rotation,390.7
62,Audi,R8 5.2 V10,2018,2020-03-02,Tire Rotation,65.34
63,Mercedes-Benz,GLK-Class GLK 350,2014,2020-03-03,Brake Replacement,370.53
64,Toyota,C-HR LE,2021,2020-03-04,Oil Change,436.72
65,Lexus,IS 350 Base,2014,2020-03-05,Brake Replacement,401.65
66,BMW,X4 M40i,2023,2020-03-06,Brake Replacement,473.25
67,BMW,M4 CS,2019,2020-03-07,Brake Replacement,254.12
68,Cadillac,CT5 Premium Luxury,2023,2020-03-08,Brake Replacement,101.27
69,Lucid,Air Grand Touring,2022,2020-03-09,Tire Rotation,351.33
70,Audi,A5 2.0T Premium Plus,2019,2020-03-10,Brake Replacement,212.29
71,Chrysler,300C SRT8,2006,2020-03-11,Brake Replacement,364.31
72,Bentley,Continental GT W12,2017,2020-03-12,Tire Rotation,498.47
73,BMW,M4 Base,2019,2020-03-13,Brake Replacement,241.3
74,Toyota,GR Corolla Circuit Edition,2023,2020-03-14,Oil Change,278.13
75,Audi,RS 5 2.9T,2019,2020-03-15,Brake Replacement,65.1
76,Porsche,Cayenne Base,2019,2020-03-16,Oil Change,483.92
77,Lamborghini,Huracan Tecnica Coupe,2023,2020-03-17,Engine Check,220.77
78,Maserati,Quattroporte S,2019,2020-03-18,Tire Rotation,313.14
