mysql> select * from customers where customerID >= 70;
+------------+-----------------------------------+----------------------+-----------------------------+--------------+------------+---------+
| CustomerID | CustomerName                      | ContactName          | Address                     | City         | PostalCode | Country |
+------------+-----------------------------------+----------------------+-----------------------------+--------------+------------+---------+
|         70 | Santé Gourmet                     | Jonas Bergulfsen     | Erling Skakkes gate 78      | Stavern      | 4110       | Norway  |
|         71 | Save-a-lot Markets                | Jose Pavarotti       | 187 Suffolk Ln.             | Boise        | 83720      | USA     |
|         72 | Seven Seas Imports                | Hari Kumar           | 90 Wadhurst Rd.             | London       | OX15 4NB   | UK      |
|         73 | Simons bistro                     | Jytte Petersen       | Vinbæltet 34                | København    | 1734       | Denmark |
|         74 | Spécialités du monde              | Dominique Perrier    | 25, rue Lauriston           | Paris        | 75016      | France  |
|         75 | Split Rail Beer & Ale             | Art Braunschweiger   | P.O. Box 555                | Lander       | 82520      | USA     |
|         76 | Suprêmes délices                  | Pascale Cartrain     | Boulevard Tirou, 255        | Charleroi    | B-6000     | Belgium |
|         77 | The Big Cheese                    | Liz Nixon            | 89 Jefferson Way Suite 2    | Portland     | 97201      | USA     |
|         78 | The Cracker Box                   | Liu Wong             | 55 Grizzly Peak Rd.         | Butte        | 59801      | USA     |
|         79 | Toms Spezialitäten                | Karin Josephs        | Luisenstr. 48               | Münster      | 44087      | Germany |
|         80 | Tortuga Restaurante               | Miguel Angel Paolino | Avda. Azteca 123            | México D.F.  | 05033      | Mexico  |
|         81 | Tradição Hipermercados            | Anabela Domingues    | Av. Inês de Castro, 414     | São Paulo    | 05634-030  | Brazil  |
|         82 | Trail's Head Gourmet Provisioners | Helvetius Nagy       | 722 DaVinci Blvd.           | Kirkland     | 98034      | USA     |
|         83 | Vaffeljernet                      | Palle Ibsen          | Smagsløget 45               | Århus        | 8200       | Denmark |
|         84 | Victuailles en stock              | Mary Saveley         | 2, rue du Commerce          | Lyon         | 69004      | France  |
|         85 | Vins et alcools Chevalier         | Paul Henriot         | 59 rue de l'Abbaye          | Reims        | 51100      | France  |
|         86 | Die Wandernde Kuh                 | Rita Müller          | Adenauerallee 900           | Stuttgart    | 70563      | Germany |
|         87 | Wartian Herkku                    | Pirkko Koskitalo     | Torikatu 38                 | Oulu         | 90110      | Finland |
|         88 | Wellington Importadora            | Paula Parente        | Rua do Mercado, 12          | Resende      | 08737-363  | Brazil  |
|         89 | White Clover Markets              | Karl Jablonski       | 305 - 14th Ave. S. Suite 3B | Seattle      | 98128      | USA     |
|         90 | Wilman Kala                       | Matti Karttunen      | Keskuskatu 45               | Helsinki     | 21240      | Finland |
|         91 | Wolski                            | Zbyszek              | ul. Filtrowa 68             | Walla        | 01-012     | Poland  |
